City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
118,coxim,-18.5067,-54.76,39.35,18,21,4.67,BR,1694970099
119,selibaby,15.159,-12.1829,34.64,43,64,1.95,MR,1694970099
120,parsabad,39.6482,47.9174,22.18,68,40,7.2,IR,1694969979
121,fale old settlement,-9.3852,-171.2468,28.18,80,73,7.3,TK,1694970100
122,chokwe,-24.5333,32.9833,20.05,67,80,5.17,MZ,1694970100
123,riosucio,5.4216,-75.7032,26.57,42,92,0.37,CO,1694970100
124,hadibu,12.65,54.0333,26.52,81,30,6.59,YE,1694970100
125,port alfred,-33.5906,26.891,13.43,76,10,0.89,ZA,1694970101
126,tralee,52.2704,-9.7026,16.14,94,100,2.06,IE,1694970101
127,salalah,17.0151,54.0924,26.72,89,65,2.07,OM,1694970000
128,eastham,41.8301,-69.9739,26.44,59,0,0.89,US,1694970101
129,oranjemund,-28.55,16.4333,13.48,74,0,10.14,NA,1694970027
130,queenstown,-31.8976,26.8753,10.68,38,0,2.42,ZA,1694969877
131,hawaiian paradise park,19.5933,-154.9731,21.73,97,100,2.06,US,1694970102
132,pointe-noire,-4.7761,11.8635,26.04,78,40,3.6,CG,1694970047
133,palmer,42.1584,-72.3287,24.12,54,10,0.45,US,1694970102
134,puerto ayora,-0.7393,-90.3518,24.75,92,76,1.79,EC,1694970104
135,vorgashor,67.5833,63.95,4.6,75,100,4.19,RU,1694970104
136,east london,-33.0153,27.9116,15.67,62,3,5.29,ZA,1694970104
137,raja,8.4596,25.678,21.61,95,100,1.92,SS,1694970104
138,lerwick,60.1545,-1.1494,14.0,84,67,7.61,GB,1694970105
139,makokou,0.5738,12.8642,21.76,94,99,0.71,GA,1694970105
140,inarajan village,13.2736,144.7484,27.22,94,100,4.58,GU,1694970105
141,isla vista,34.4133,-119.861,21.01,72,100,0.45,US,1694970106
142,fort st. john,56.2499,-120.8529,14.92,43,17,6.99,CA,1694970077
143,bilibino,68.0546,166.4372,3.41,69,100,1.31,RU,1694970106
144,petropavlovsk-kamchatsky,53.0452,158.6483,7.38,80,24,8.2,RU,1694970106
145,kruisfontein,-34.0033,24.7314,12.71,80,2,2.91,ZA,1694970107
146,murghob,38.1702,73.9667,10.76,25,0,2.5,TJ,1694970107
147,nishinoomote,30.7333,131.0,26.81,81,10,2.54,JP,1694970107
148,freetown,8.484,-13.2299,27.03,78,82,4.78,SL,1694970069
149,kenai,60.5544,-151.2583,7.86,99,100,2.1,US,1694970004
150,sinabang,2.4803,96.3801,25.41,86,100,0.99,ID,1694970108
151,zhigalovo,54.8097,105.1578,12.5,81,87,1.5,RU,1694970108
152,cowra,-33.8333,148.6833,11.77,48,0,1.43,AU,1694970108
153,terme,41.2092,36.9739,17.45,74,38,2.66,TR,1694970108
154,ames,42.0347,-93.6199,22.25,58,75,4.63,US,1694970109
155,great falls,47.5002,-111.3008,26.66,21,0,7.2,US,1694970109
156,castillos,-34.1667,-53.8333,18.61,79,58,6.91,UY,1694970109
157,ome,35.7839,139.2431,27.14,81,5,1.77,JP,1694970109
158,sokoni,-6.4333,39.55,25.16,78,13,7.15,TZ,1694970110
159,georgetown,5.4112,100.3354,28.3,92,20,2.68,MY,1694969877
160,togur,58.3631,82.8265,13.36,82,100,1.77,RU,1694970111
